id	bio.name	bio.chinese.name	bio.title	birthyear	deathyear	sex	nationality.id	full.bio	full.bio.url	net.centrality	net.betweenness	net.closeness
D3301EF7-0CDD-435F-AFBE-5A43961FACEE	Zhou Qingxin	???	General Manager of the Tuoyu Group	NA	NA	male	E28D2241-C9B2-4782-8456-2C6165225F9A	Zhou Qingxin, male, Han nationality, graduated from Jiaotong University in 1973 with a bachelor's degree in electronic engineering. He then earned two master's degree, one in commerce from Jiaotong University in 1975 and a second one in computer engineering in 1979 from the same institution. Zhou received a doctorate in computer engineering from Jiaotong University in 1988. Since 1979, Zhou has been affiliated with the Corporation Information Industrial Promotion Society. He was an engineer and a deputy director of the special system department. Zhou was then a project consultant and later director of the corporation's technology research department. During this time, he was also a consultant of the information office of No. 1 Commercial Bank from 1983 to 1984. Zhou was a former director of the finance team of the Asia EDI Council and then spent four years with the Ministry of Economic Affairs. From 1993 to 1997, he was an initiator of the software standard team at the ministry's central bureau of standards. Zhou became general manager of the financial business at the Corporation Information Industrial Promotion Society in 1996. Two years later, in 1998, Zhou took over the general manager position at the Tuoyu Group.	http://www.chinavitae.com//biography/Zhou_Qingxin/full	-1.05528667441315	0	1.0818386930427e-05
0856F32E-87CB-4BC3-A08F-FAA45C3CB4DF	Wu Lianyuan	???	Vice-Chairman of the Ethnic Affairs Committee of the NPC	1937	NA	male	E419E175-FC90-4F83-80C5-16A238667F26	Wu Lianyuan, male, Hui nationality, is a native of Changchun, Jilin province. He was born in 1937, joined the CPC in 1964, and graduated from Northeastern University. He served as a member of the standing committee of the NPC since 2003, and he was appointed as vice-chairman of the ethnic affairs committee of the NPC in that same year.	http://www.chinavitae.com//biography/Wu_Lianyuan/full	-1.02580182739335	0	1.08225628790903e-05
76D95B04-3162-4BA8-9B27-C0E55EB4B94E	Li Huang	??	Deputy Director of the China Meteorological Administration, Member of the Leading Party Group of the China Meteorological Administration	NA	NA	male	E28D2241-C9B2-4782-8456-2C6165225F9A	Li Huang, male, Han nationality. He graduated from the Geophysics Department of Beijing University. Li Huang has been a meteorologist and researcher at the China Meteorological Administration and held the post of deputy director in 1991. Li Huang has also conducted his research at the United States Meteorological Center.	http://www.chinavitae.com//biography/Li_Huang/full	-1.005226037731	0	1.08240857556234e-05
A99D71C5-D3BF-4B44-8A0D-06269E29740A	Zhu Zhigang	???	Former Vice-Minister of the Ministry of Finance	1950	NA	male	E28D2241-C9B2-4782-8456-2C6165225F9A	Zhu Zhigang, male, Han nationality, is a native of Beijing Municipality. He graduated from the University of Science and Technology of China with a master's degree in economics. He entered the work force in 1969, and joined the CPC in 1973. He served as director of the Beijing Daxing Finance Bureau until 1987 and director-general of the National Administration of State-Owned Assets until 1994. He was vice-minister of the Ministry of Finance from 2000 to 2008, Vice Chairman of 11th NPC Financial and Economic Committee and Chairman of 11th NPC Budgetary Work Committee from Feb. 2008 to October 2008. In 2010, he was convicted of financial criminal and sentenced to life in prison.	http://www.chinavitae.com//biography/Zhu_Zhigang/full	-1.00336585276507	0	1.08217690706625e-05
F9669EBF-BE34-423D-9042-49499BA6F57F	Liu Xiaoming	???	Chinese Ambassador to the United Kingdom of the Great Britain and Northern Ireland	1956	NA	male	E28D2241-C9B2-4782-8456-2C6165225F9A	Liu Xiaoming, male, Han nationality, is a native of Guangdong Province, Jieyang City. He was born in 1956 and graduated from Dalian University of Foreign Languages in 1974. Liu earned a master's degree in international relations from the Fletcher School of Law and Foreign Affairs of Tufts University in 1983. A career diplomat, Liu spent his first few years after college graduation as a staff member of the Chinese Embassy in Zambia and at the North American and Oceania Affairs Department at the Ministry of Foreign Affairs. He became deputy section chief of the North American and Oceania Affairs department of the Ministry of Foreign Affairs in 1983, serving in that post for five years. Liu then traveled to the United States to assume the second secretary post of the Chinese Embassy. In 1990, he was promoted to the first secretary position at the embassy. After returning to China in 1993, he became a counselor and later deputy director-general of the North American and Oceania Affairs department at the Ministry of Foreign Affairs. His five years in China at the department were followed by a minister's assignment to the Chinese Embassy in the United States. Liu became ambassador to Egypt in 2001. In February 2004, he was appointed as Deputy Secretary-General of Gansu Provincial People's Government and then Assistant Governor of Gansu Province. From 2006 to 2009, he was appointed Chinese Ambassador to the DPRK. Since 2009, he is Chinese Ambassador to the United Kingdom of the Great Britain and Northern Ireland.	http://www.chinavitae.com//biography/Liu_Xiaoming/full	-0.887256703889457	0	1.08215869015512e-05
49E8E423-4468-4EAF-A981-8BFDC3827288	Huang Guojun	???	Deputy General Manager of China Nuclear Industry Group	1945	NA	male	E28D2241-C9B2-4782-8456-2C6165225F9A	Huang Guojun, male, Han nationality, is a native of Zhejiang Province. He was born in 1945, graduated from Fudan University in 1967 and joined the CPC in 1983. Huang spent his entire career in the field of nuclear energy. He began as an intern research at the China Nuclear Energy Science Research Institute. He later joined the Nuclear Information Research Institute. In 1997, he became president of the organization. He later became deputy general manager of the China Nuclear Industry Group. He also heads the Discipline Inspection Group of the China Nuclear Industry Group.	http://www.chinavitae.com//biography/Huang_Gujun/full	-0.934628675533799	0	1.0818497466969e-05
E0A1CFC6-3633-46FF-A543-852CF2F609BF	Zhao Kezhi	???	Governor, People's Government, Guizhou Province; Secretary, CPC, Provincial Committee, Guizhou Province	1953	NA	male	E28D2241-C9B2-4782-8456-2C6165225F9A	Zhao Kezhi, male, Han nationality, is a native of Laixi City, Shandong Province. He was born in 1953, entered the work force in 1973 and joined the CPC in 1975. Zhao was Executive Vice Governor of Jiangsu Province from 2006 to 2010. From 2010 to 2012, Zhao was Deputy Secretary of CPC Guizhou Provincial Committee. He is now Governor of Guizhou Province People’s Government and in 2012 he becmame Secretary of the CPC Guizhou Provincial Committee.	http://www.chinavitae.com//biography/Zhao_Kezhi/full	-0.974391932428204	607.5	1.08222375336842e-05
DE996C68-F27B-4EEB-814A-BA59C0BBEF97	Zhang Zongyuan	???	Deputy Director of the Standing Committee of the Sichuan Provincial People's Congress	1940	NA	male	E28D2241-C9B2-4782-8456-2C6165225F9A	Zhang Zongyuan, male, Han nationality, is a native of Chongqing City, Sichuan province. He joined the CPC in 1981, graduated from the Chongqing Civil Engineering Institute, and became a professor of engineering. Zhang was appointed deputy director of the Standing Committee of the People's Congress of Sichuan province in 1998. He was deputy to the 10th Sichuan Provincial People's Congress.	http://www.chinavitae.com//biography/Zhang_Zongyuan/full	-0.83415907521307	0	1.08219837778463e-05
3A73390F-E73C-4536-8402-884BB5508D8D	Tang Jiliang	???	President of Guangxi University	1957	NA	male	E28D2241-C9B2-4782-8456-2C6165225F9A	Tang Jiliang, male, Han nationality, is a native of Guangxi Zhuang Autonomous Region. He was born in 1957, and graduated from Guangxi University. He obtained a doctorate in genetics from East Anglia University in the U.K. in 1989. He is a professor of microbial genetics at Guangxi University. He was elected as president of the university in 1997. Professor Tang focuses on the research of microbial cellulous polysaccharides and Xanthine production. Researching under the National High Technology "863" Plan, the National Natural Science Foundation, and the International Natural Science Fund, he conducts studies of the pathogenic-related genes of Xanthomonas campestris, PV campestris, Xanthomonas oryzae PV oryzae, and Xanthine biosynthesis. Professor Tang has published three monographs and translations, more than fifty articles, and several applied patents. He won a first and second prize of the Guangxi Science and Technology Advancement Prize. Professor Tang is a member of the technology committee of the National High Technology "863" Plan and the appraisal committee of the life sciences department of the National Natural Science Foundation. He also served as a member of the 9th and 10th NPC. He is currently president of Guangxi University.	http://www.chinavitae.com//biography/Tang_Jiliang/full	-0.685897981884326	0	1.08228687216088e-05
CD825EB2-3B05-4860-981E-36DC0E8BC8A1	Ye Hengqiang	???	Material Scientist	NA	NA	male	E28D2241-C9B2-4782-8456-2C6165225F9A	Ye Hengqiang, male, Han nationality, is a native of Panyu, Guangdong Province. He graduated from the Beijing Iron and Steel Institute and received a graduate degree from the Metal Research Institute of the Chinese Academy of Sciences. Ye spent his career as a researcher at the Metal Research Institute of the Chinese Academy of Sciences. He primarily engaged in the research of structure and defects of solid matters and materials and their relationship with material behavior. Among his achievements, Ye independently discovered the five symmetries unallowable in traditional crystallography and further discovered and studied the quasi-crystal phases such as icosahedron symmetry, eight-time symmetry and cubic symmetry. He was the first person to study systematically the structure and defect of solid material through high-resolution atomic pictures. He also developed a technique and theory on material fine structure of atomic dimensions and discovered various new phases and domain configurations in high-temperature alloy topological close piling phases. Ye determined several new structures through the method of displaying various kinds of atoms by using superstructure pictures, revealed visually the production mechanism of alloy non-commensurability structure and advanced original opinions on alloy structure theory. Ye has received several awards and has published several articles and monographs. He was elected to the Chinese Academy of Sciences in 1991.	http://www.chinavitae.com//biography/Ye_Hengqiang/full	-0.992701771256125	0	1.08161961721482e-05
